name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency
Data Engineer;Netguru;;data engineer;Zdalna;N/A;11 040;15 800;PLN
Data Engineer;Avanade Poland;SQL;data engineer;Warszawa;POL;10 000;19 000;PLN
Senior Data Engineer;IIIT;aws;data engineer;Zdalna;N/A;25 000;34 000;PLN
Data Engineer;Orange Polska;python;data engineer;Warszawa;POL;9 000;18 000;PLN
Software Engineer - Data Science;Franklin Templeton;;data engineer;Zdalna;N/A;10 916;18 083;PLN
Senior Big Data Engineer;Devire;spark;data engineer;Zdalna;N/A;26 000;31 000;PLN
Junior Online Data Engineer;Sales & More;SQL;data engineer;Warszawa;POL;4 000;8 000;PLN
DATA ENGINEER;Hoist Finance AB (oddział w Polsce);sql;data engineer;Wrocław;POL;10 500;12 500;PLN
Remote Mid / Senior Data Engineer;Addepto;python;data engineer;Zdalna;N/A;13 500;26 880;PLN
Data Engineer with Snowflake;Lingaro;python;data engineer;Zdalna;N/A;16 800;21 840;PLN
Java Developer/ Big Data Engineer;OpenX;java;data engineer;Kraków;POL;16 000;22 000;PLN
Data Engineer;AVENGA;spark;data engineer;Zdalna;N/A;20 160;30 240;PLN
Senior IoT Data Engineer;Acaisoft Poland Sp. z.o.o;python;data engineer;Zdalna;N/A;20 000;25 000;PLN
Mid IoT Data Engineer;Acaisoft Poland Sp. z.o.o;python;data engineer;Zdalna;N/A;12 000;19 000;PLN
Data Engineer (REMOTE);SoftKraft;python;data engineer;Zdalna;N/A;16 000;20 000;PLN
Data Engineer;Dynatrace Sp. z o.o.;SQL;data engineer;Gdańsk;POL;14 000;23 000;PLN
Junior Cloud Data Engineer – Akademia;Onwelo S.A.;;data engineer;Warszawa;POL;3 700;4 000;PLN
Data Engineer;Avanade Poland;azure;data engineer;Zdalna;N/A;13 440;21 000;PLN
Data Engineer - SQL Developer with ETL;AVENGA;sql;data engineer;Wrocław;POL;19 320;21 840;PLN
Python Data Engineer;Devire Sp. z o.o.;python;data engineer;Zdalna;N/A;21 840;28 560;PLN
Data Engineer;Devire Sp. z o.o.;spark;data engineer;Zdalna;N/A;21 840;28 560;PLN
Senior Data Engineer (Marketing);Brainly;SQL;data engineer;Zdalna;N/A;15 000;23 000;PLN
Data Science/ ML Engineer;Link Group;;data engineer;Zdalna;N/A;18 000;30 000;PLN
Unix Data Engineer;Ework Group;;data engineer;Zdalna;N/A;23 520;25 200;PLN
Senior Big Data Engineer;Allegro;spark;data engineer;Poznań;"POL
 + 4";16 500;22 500;PLN
Big Data Engineer;Allegro;spark;data engineer;Poznań;"POL
 + 4";12 500;17 000;PLN
Data Engineer;Centrum Badawczo-Rozwojowe Invicta;;data engineer;Sopot;POL;12 000;16 000;PLN
Data Engineer;Hitachi Energy;;data engineer;Kraków;POL;6 000;9 000;PLN
Data Engineer;Ework Group;;data engineer;Wrocław;POL;16 000;18 000;PLN
BI Data Engineer;Link Group;;data engineer;Zdalna;N/A;15 120;18 480;PLN
Data Engineer;Egnyte;python;data engineer;Zdalna;N/A;13 000;16 000;PLN
Azure Data Engineer - Remote;Direct Communication Sp. z o.o.;Azure;data engineer;Zdalna;N/A;18 000;30 000;PLN
Data Engineer;McKinsey & Company;;data engineer;Wrocław;POL;10 000;19 000;PLN
Data Engineer with Python;Lingaro;python;data engineer;Zdalna;N/A;13 440;20 160;PLN
Senior Test Engineer (Data/Cloud);Spyrosoft;java;data engineer;Zdalna;N/A;14 784;19 656;PLN
Remote Mid Big Data Engineer;Lite e-Commerce;python;data engineer;Zdalna;N/A;14 000;18 500;PLN
Remote Senior Big Data Engineer;RTB House;java;data engineer;Zdalna;N/A;21 800;33 600;PLN
Big Data Engineer;Coinfirm;spark;data engineer;Zdalna;N/A;15 000;20 000;PLN
Data Engineer (ETL);Onwelo S.A.;;data engineer;Zdalna;N/A;13 650;17 850;PLN
Cloud Data Engineer (GCP);Onwelo S.A.;python;data engineer;Zdalna;N/A;13 650;22 050;PLN
Data Engineer (Scala/Spark);Scalac;Data Engineering;data engineer;Zdalna;N/A;15 000;25 000;PLN
Data Software Engineer;Dun & Bradstreet;AWS Lambda;data engineer;Zdalna;N/A;22 000;27 000;PLN
Azure Data Engineer;Onwelo S.A.;python;data engineer;Zdalna;N/A;15 750;19 950;PLN
Data Engineer;ProData Consult;;data engineer;Zdalna;N/A;25 200;30 240;PLN
Lead Data Engineer;Avis Budget Group BSC;;data engineer;Zdalna;N/A;12 701;17 781;PLN
Data Engineer;Trax Retail;;data engineer;Budapest;HUN;13 971;19 051;PLN
Data Scientist;Kontomatik Sp. z o.o.;python;data scientist;Warszawa;POL;8 000;12 000;PLN
Data scientist/mathematical modeller;IDEA team within Narodowe Centrum Badań Jądrowych;;data scientist;Warszawa;POL;7 000;13 000;PLN
Data Scientist;Devire;python;data scientist;Zdalna;N/A;8 000;16 000;PLN
Data Scientist;MindMics.com;python;data scientist;Kraków;POL;8 000;15 000;PLN
Data Scientist;Orange Polska;python;data scientist;Warszawa;POL;9 000;18 000;PLN
Senior Data Mining Analyst;McKinsey & Company;;data scientist;Wrocław;POL;9 000;14 000;PLN
Remote Mid / Senior Data Scientist;Addepto;python;data scientist;Zdalna;N/A;11 760;23 400;PLN
Data Scientist (NLP);No Fluff Jobs;nlp;data scientist;Zdalna;N/A;14 000;22 000;PLN
Senior Data Scientist;MIM Solutions;python;data scientist;Zdalna;N/A;15 000;23 000;PLN
Senior Data Scientist;IIIT;python;data scientist;Zdalna;N/A;20 000;28 000;PLN
Data Scientist;Syncron Sp. z o.o.;python;data scientist;Zdalna;N/A;15 700;18 800;PLN
(Senior) Data Scientist;Pearson;Python;data scientist;Poznań;"POL
 + 1";12 500;25 000;PLN
Mid Data Scientist;LAIT;python;data scientist;Warsaw;POL;15 000;18 000;PLN
Data Scientist;Onwelo S.A.;;data scientist;Zdalna;N/A;13 650;17 850;PLN
Senior Data Scientist;SEON Technologies Kft.;;data scientist;Budapest;HUN;14 606;19 051;PLN
